fieldNames,Explanation,Taxonomic
subbasin,"If the survey occurred only in one or several subbasins of a large lake, that is indicated here",N
SUBMIT_TIME,When the survey as submitted through PI Charter (not relevant for earlier submissions),N
SUBMITTER_EMAIL,The email address of the submitting user (removed from records queries),N
SUBMITTER_NAME,The name provided to PI Charter during submission (or the submitting organization prior to PI Charter),N
substrate,"Observational data of the consistency or makeup of the lake bottom at a sampling location, collected by some surveyors",N
surface_growth,An indicator recorded by some surveyors that flags if plant growth is evident at the water's surface at a location,N
SURVEY_START,The date on which the survey began (some surveys take more than one day to complete),N
SURVEYORS,"The surveyors who conducted the survey, if known",N
tolypella_intricata,,Y
triadenum_fraseri,,Y
typha_angustifolia,,Y
typha_x_glauca,,Y
typha_latifolia,,Y
typha_sp,"""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC",Y
unk_sp,"""Unknown species,"" as indicated by the original surveyor, not MAISRC",Y
utricularia_geminiscapa,,Y
utricularia_gibba,,Y
utricularia_intermedia,,Y
utricularia_minor,,Y
utricularia_purpurea,,Y
utricularia_sp,"""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC",Y
utricularia_vulgaris,,Y
vallisneria_americana,,Y
vallisneria_sp,"""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC",Y
verbena_sp,"""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC",Y
veronica_americana,,Y
veronica_catenata,,Y
whole_rake_density,A metric recorded by some surveyors that ascribes a rake score to all taxa collectively observed. Should be no lower than the highest rake score for any observed individual taxon.,N
wolffia_borealis,,Y
wolffia_columbiana,,Y
wolffia_sp,"""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC",Y
zannichellia_palustris,,Y
zizania_palustris,,Y
zizania_sp,"""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC",Y
