"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","algae","subbasin","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","ranunculus_aquatilis","potamogeton_pusillus","myriophyllum_sibiricum","nelumbo_lutea","utricularia_vulgaris","brasenia_schreberi","najas_guadalupensis","lemna_sp","najas_sp","latitude","longitude","potamogeton_gramineus","lake_name","utricularia_sp","wolffia_columbiana","nuphar_advena","eleocharis_acicularis","characeae_taxa","spirogyra_sp","lemnaceae_taxa","NA_STA_NBR","DUPE_STA_NBR","MISSING_LAT","MISSING_LONG"
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","11","3","3.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9823705300062,-93.1407746489181,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","12","3","3.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9811390858523,-93.1431940157187,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","13","1","4.92","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9814247473654,-93.1422203668701,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","14",NA,"2.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9817104002436,-93.1412467154303,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","15","1","5.25",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9804826733637,-93.1435897887639,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","16","1","3.94","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9807683312858,-93.1426161520992,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","17",NA,"4.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9810539805731,-93.1416425128432,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","18",NA,"7.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9813396212256,-93.1406688709966,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","19","3","4.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9801025514652,-93.1429533857203,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","20",NA,"8.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9803882057964,-93.1419797612389,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","21",NA,"8.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9807571868398,-93.1409002270038,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","22","1","4.59","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9809855386419,-93.1401803371732,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","23",NA,"6.23","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9797999816089,-93.1422400067505,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","24","1","12.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9801211580017,-93.1412274520833,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","25","1","7.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9804246009105,-93.1402708047696,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","26","3","5.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9806970024884,-93.139448231215,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","27","2","4.59","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9792088961419,-93.1424767886731,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","28",NA,"9.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9794945346576,-93.1415031859661,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","29",NA,"10.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9797801645391,-93.1405295806685,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","30","1","7.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.980147679662,-93.1394658571188,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","31","1","2.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9803420565884,-93.1388530372425,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","32","1","5.91","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9788660559582,-93.1419016814562,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","33",NA,"12.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9791516736154,-93.1409280857507,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","34",NA,"8.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9794372826383,-93.1399544874557,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","35","1","6.56","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9797228830267,-93.1389808865716,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","36","1","2.3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.978220126338,-93.142299668622,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","37","1","6.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9785057404055,-93.1413260850983,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","38",NA,"12.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9787913458389,-93.140352498985,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","39",NA,"10.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9790769426381,-93.1393789102828,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","40","1","6.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9793543771074,-93.1386108435469,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","41","1","4.92","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9778897417523,-93.1415506961006,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","42","1","8.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9782120118729,-93.1405345691231,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","43",NA,"10.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9784868441522,-93.1396680150263,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","44","1","7.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9787423746346,-93.1388623200511,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","45","1","4.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9775712087192,-93.1408769335461,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","46",NA,"9.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9778767687036,-93.1399134646708,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","47",NA,"10.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9781321646152,-93.1391081693958,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","48","2","5.58","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9773140883766,-93.1400094913003,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","49","1","9.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.977594960639,-93.1391238388411,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","50",NA,"6.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.977891887,-93.1381875642525,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","51","1","5.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9767429466283,-93.1401322146515,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","52","1","6.23","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9770044958179,-93.1393074669198,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","53","1","7.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9773183881817,-93.1383176645217,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","54","3","6.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9777335387148,-93.1370085629296,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","55","3","3.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9764207264119,-93.1394700021062,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","56","1","5.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9767369510283,-93.1384728149031,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
