"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","whole_rake_density","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_natans","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","subbasin","potamogeton_robbinsii","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","ranunculus_aquatilis","potamogeton_pusillus","nitella_sp","myriophyllum_sibiricum","potamogeton_amplifolius","nelumbo_lutea","zannichellia_palustris","utricularia_vulgaris","brasenia_schreberi","najas_guadalupensis","typha_sp","lythrum_salicaria","latitude","longitude","aquatic_moss","potamogeton_friesii","potamogeton_gramineus","sagittaria_sp","lake_name","bidens_beckii","sparganium_sp","zizania_sp","wolffia_columbiana","plant_height","eleocharis_acicularis","schoenoplectus_acutus","sagittaria_latifolia","phragmites_australis","sagittaria_graminea","drepanocladus_sp","sparganium_eurycarpum","ceratophyllum_echinatum","utricularia_minor","riccia_sp","potamogeton_strictifolius","myriophyllum_verticillatum","surface_growth","equisetum_fluviatile","fontinalis_antipyretica","heteranthera_dubia.1","utricularia_geminiscapa","nuphar_sp","nymphaea_sp","multipartsurvey","percent_biovolume","plant_height.1","persicaria_amphibia.1","ranunculus_aquatilis.1","NA_STA_NBR","DUPE_STA_NBR","MISSING_LAT","MISSING_LONG"
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13596",NA,"3","3.6","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.8522,-93.52025,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13597",NA,"2","3.9","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",44.85221,-93.51962,NA,"0","0","0","ricemarsh","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13598",NA,"3","3.3","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84995,-93.52213,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13599",NA,"3","3.6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",44.85221,-93.51899,NA,"0","0","0","ricemarsh","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13600",NA,"3","4.3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85221,-93.51835,NA,"0","0","0","ricemarsh","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13601",NA,"4","3.9","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85222,-93.51772,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13602",NA,"4","4.3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85222,-93.51709,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13603",NA,"4","4.3","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85222,-93.51646,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13604",NA,"1","3","0","0","1","1","1","0","0","0","0","0","0","0","0","0","3","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85222,-93.51582,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13605",NA,"2","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",44.85264,-93.52342,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13606",NA,"1","1.6","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85265,-93.52152,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13607",NA,"3","3.9","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85265,-93.52089,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13608",NA,"3","3.3","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85265,-93.52026,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13609",NA,"4","3","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84995,-93.5215,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13610",NA,"4","3.3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85266,-93.51962,NA,"0","0","0","ricemarsh","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13611",NA,"4","3.3","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85266,-93.51899,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13612",NA,"2","2.6","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85266,-93.51836,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13613",NA,"4","3.9","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85267,-93.51773,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13614",NA,"3","3.6","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85267,-93.51709,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13615",NA,"2","2","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85267,-93.51646,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13616",NA,"2","2.3","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.8531,-93.52026,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13617",NA,"2","3.9","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85311,-93.51963,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13618",NA,"2","1.6","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",44.85311,-93.519,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13619",NA,"2","2.3","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85311,-93.51836,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13620",NA,"3","3","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84995,-93.52087,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13621",NA,"2","2","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85312,-93.51773,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13622",NA,"2","2","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85312,-93.5171,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13623",NA,"1","1","0","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",44.85355,-93.52027,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13624",NA,"1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85356,-93.51963,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13625",NA,"1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85356,-93.519,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13626",NA,"2","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85356,-93.51837,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13627",NA,"3","3.6","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84997,-93.51707,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13628",NA,"4","4.6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84997,-93.51644,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13629",NA,"4","4.6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84997,-93.5158,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13630",NA,"4","4.9","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84998,-93.51517,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13631",NA,"4","3.3","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84998,-93.51454,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13632",NA,"3","2","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84998,-93.51391,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13633",NA,"3","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84948,-93.52466,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13634",NA,"3","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85037,-93.5272,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13635",NA,"4","4.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85038,-93.52656,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13636",NA,"3","3.9","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85038,-93.52593,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
