"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","fontinalis_sp","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","algae","subbasin","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","potamogeton_sp","ranunculus_aquatilis","potamogeton_pusillus","nitella_sp","myriophyllum_sibiricum","elodea_sp","potamogeton_amplifolius","nelumbo_lutea","zannichellia_palustris","brasenia_schreberi","najas_guadalupensis","typha_sp","najas_sp","latitude","longitude","potamogeton_epihydrus","lake_name","utricularia_sp","unk_sp","wolffia_columbiana","nuphar_advena","no_veg_found","potamogeton_perfoliatus","substrate","potamogeton_obtusifolius","phalaris_arundinacea","unk_sp.1","algae.1","nuphar_sp","nymphaea_sp","eleocharis_sp","poaceae_taxa","potamogeton_diversifolius","spirodela_sp","vallisneria_sp","potamogeton_sp.1","spirodela_polyrrhiza.1","DUPE_STA_NBR","MISSING_LAT","MISSING_LONG"
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","23",NA,"12.139108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9065894530406,-92.9835861806956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","24",NA,"19.356956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.906589322159,-92.9826994678519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","25",NA,"25.918636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9065891843928,-92.9818127550145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","26",NA,"28.871392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9065890397421,-92.9809260421837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","27",NA,"28.215224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9065888882068,-92.9800393293596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","28",NA,"13.779528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9065887297869,-92.9791526165428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","29",NA,"13.779528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9072195982282,-92.9835860013656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","30",NA,"17.060368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9072194673438,-92.9826992788341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","31",NA,"18.372704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9072193295746,-92.9818125563089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","32",NA,"21.32546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9072191849206,-92.9809258337902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","33",NA,"13.451444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.907219033382,-92.9800391112783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","34",NA,"7.545932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.907849743346,-92.9835858220297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","35",NA,"13.779528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9078496124587,-92.9826990898101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","36",NA,"13.451444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9078494746865,-92.9818123575967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","37","3","2.952756",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9078493300294,-92.9809256253898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","38","3","0.984252",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9084798883939,-92.9835856426878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","39","3","4.265092",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9084797575037,-92.9826989007798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","40","3","2.624672",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9084796197285,-92.981812158878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","41","3","6.56168",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.907045450897,-92.9791698711372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
