"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","algae","subbasin","potamogeton_robbinsii","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","ranunculus_aquatilis","potamogeton_pusillus","myriophyllum_sibiricum","potamogeton_amplifolius","brasenia_schreberi","lemna_sp","najas_sp","latitude","longitude","eleocharis_acicularis","utricularia_macrorhiza","nitella_mucronata","myriophyllum_spicatum_x_sibiricum","riccia_fluitans","characeae_taxa","MISSING_LAT","MISSING_LONG"
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","19",NA,"2.3",NA,NA,NA,NA,NA,NA,"3",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1286830010366,-93.0515186189835,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","20","3","2.3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1292205700593,-93.0568600364731,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","21",NA,"2.3",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1292213195848,-93.0553340561793,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","22",NA,"2.3",NA,NA,NA,NA,NA,NA,"3",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1292220487214,-93.0538080758265,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","23",NA,"2.62",NA,"1",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.129222757469,-93.0522820954163,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","24",NA,"2.3",NA,NA,NA,NA,NA,NA,"3",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1292234458277,-93.0507561149503,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","25",NA,"1.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1297610504394,-93.0560975757592,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","26",NA,"2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1297617897843,-93.054571581034,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","27",NA,"2.62",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1297625087399,-93.0530455862506,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","28",NA,"2.62",NA,NA,NA,NA,NA,NA,"3",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1297632073061,-93.0515195914106,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","29",NA,"2.3",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1303007761313,-93.0568611097409,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","30",NA,"2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1303015256849,-93.0553351006433,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","31",NA,"1.97",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1303022548488,-93.0538090914868,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","32",NA,"2.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.130302963623,-93.0522830822728,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","33",NA,"2.62",NA,NA,NA,NA,NA,NA,"3",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1303036520074,-93.050757073003,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","34",NA,"2.3",NA,NA,NA,NA,NA,NA,"3",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1300958113891,-93.0494832318844,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","35",NA,"2.62",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1308412564229,-93.056098634655,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","36",NA,"1.97",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1308419957955,-93.0545726111253,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","37",NA,"0.33",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.130842714778,-93.0530465875373,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","38",NA,"2.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1308434133704,-93.0515205638927,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","39",NA,"2.62",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1308440915727,-93.0499945401931,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","40",NA,"2.62",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1313809819981,-93.0568621830694,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","41",NA,"2.3",NA,NA,NA,NA,NA,NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.131382460771,-93.0538101072044,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","42",NA,"2.3",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1313831695717,-93.052284069185,NA,NA,"1",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","43",NA,"0.98",NA,"2",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1313838579819,-93.0507580311099,NA,NA,"1",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","44",NA,"2.62",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1319214622013,-93.0560996936107,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","45",NA,"2.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1319222016015,-93.0545736412747,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","46",NA,"2.62",NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.131922920611,-93.0530475888805,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","47",NA,"2.3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1319236192295,-93.0515215364297,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","48",NA,"0.33",NA,"1",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1319242974572,-93.049995483924,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","49",NA,"2.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1324611876597,-93.0568632564585,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","50",NA,"2.95",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1324619372694,-93.0553371897485,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","51",NA,"2.95",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.132462666488,-93.0538111229795,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","52","2","2.3",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1324633753152,-93.0522850561531,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","53",NA,"2.3",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1324640637512,-93.0507589892709,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","54","2","2.95",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.132464731796,-93.0492329223345,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","55",NA,"2.95",NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1330016677744,-93.0561007526263,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","56",NA,"1.97",NA,"2",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1330024072024,-93.0545746714825,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","57",NA,"1.31",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1330031262387,-93.0530485902804,NA,NA,"2",NA,NA,NA,FALSE,FALSE
