"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","algae","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","nitella_sp","myriophyllum_sibiricum","potamogeton_amplifolius","zannichellia_palustris","utricularia_vulgaris","najas_guadalupensis","chara_globularis","lemna_sp","typha_sp","typha_angustifolia","latitude","longitude","aquatic_moss","potamogeton_friesii","potamogeton_gramineus","sagittaria_sp","lake_name","sparganium_sp","unk_sp","wolffia_columbiana","eleocharis_acicularis","scirpus_sp","stuckenia_filiformis","ranunculus_sceleratus","substrate","persicaria_amphibia","iris_versicolor","iris_sp","sta_nbr.1","sta_nbr.2","utricularia_minor","riccia_sp","nitella_furcata","DUPE_STA_NBR","MISSING_LAT","MISSING_LONG"
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","86","2",NA,NA,NA,"3",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,"2",NA,"3",NA,NA,NA,NA,44.7848703714275,-93.9611363238943,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","87","2",NA,"2",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"2","X",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,NA,NA,NA,44.7856442144663,-93.9707561981002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","88",NA,NA,NA,NA,"4",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,44.7856544151164,-93.969555489849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","89",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,"3",NA,"2",NA,NA,NA,NA,44.7856646031448,-93.9683547809598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","90","X",NA,"2",NA,"X",NA,NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,44.7856849413361,-93.9659533612711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","91",NA,NA,"2",NA,"2",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"2",NA,"3",NA,"2",NA,NA,NA,NA,44.7856950914989,-93.964752650473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","92",NA,NA,"3",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.78570522904,-93.9635519390402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","93",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,44.7857153539592,-93.9623512269735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","94","2",NA,NA,NA,"3",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,NA,NA,NA,44.7864993067542,-93.970770530882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","95",NA,NA,"3",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,44.7865095077067,-93.9695698049096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","96",NA,NA,"2",NA,"X",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,44.7865196960371,-93.9683690782993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","97","3",NA,NA,NA,"X",NA,NA,NA,"3",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,44.7865298717454,-93.9671683510518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","98","2",NA,"2",NA,"X",NA,"X",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,44.7865400348314,-93.965967623168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","99","2",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,44.7873441850323,-93.971985607358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","100",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"3",NA,NA,NA,"4",NA,"X",NA,NA,NA,NA,44.7873543989098,-93.9707848643025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","101",NA,NA,"2",NA,"3",NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,44.7873646001648,-93.9695841206081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","102",NA,NA,NA,NA,"X",NA,"X",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"X",NA,44.7873747887973,-93.9683833762759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","103",NA,NA,"2",NA,"3",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,44.7882196924908,-93.9695984369447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","40",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7870324797356,-93.7033099259027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","41",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7870355924094,-93.7028043179707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","42",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7873863109782,-93.7043255202944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","43",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7873894281674,-93.7038199093839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","44",NA,NA,NA,NA,"X",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7873987663056,-93.7023030761598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","45",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7877338829649,-93.7063523545416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","46",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7877370091461,-93.7058467408173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","47",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7877401330891,-93.7053411270106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","48",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.787758829743,-93.7023074424448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","49",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7880908176092,-93.7068623628361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","50",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7881188931572,-93.7023118088117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","51",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7884477499139,-93.7073723774163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","52",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7884758459574,-93.7028217958458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","53",NA,NA,NA,NA,"X",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7884789565484,-93.7023161752606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.788804679879,-93.7078823982824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","55",NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7888296813119,-93.70383741273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","56",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7888327964184,-93.7033317891658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10002800","2024-09-11","4","2025-01-10 11:16:32.230429","Andrew Edgcumbe, Mary Mullane","57",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7891647427951,-93.7078867994685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
